Space,Vehicles Parked,"VehiclesParked","Timeused",,,,,,,
"",+15,+30,+45,+60,+75,+90,+105,+120,,
1,-,-,-,-,-,-,-,-,0,0
2,116,116,116,116,116,-,-,-,1,75
3,125,125,125,185,185,185,185,185,2,120
4,130,130,130,130,130,130,130,130,1,120
5,474,474,474,474,474,474,474,-,1,105
6,AMH,AMH,AMH,AMH,AMH,AMH,AMH,AMH,1,120
7,443,443,443,-,-,-,-,-,1,45
8,819,819,819,819,819,819,819,819,1,120
9,734,734,734,734,734,734,734,734,1,120
10,281,281,281,281,281,281,281,281,1,120
11,QEP,QEP,QEP,QEP,QEP,-,-,-,1,75
12,-,-,-,-,-,-,-,-,0,0
13,122,122,122,122,122,122,122,122,1,120
14,956,956,956,956,956,956,956,956,1,120
15,170,170,170,170,170,170,170,170,1,120
16,262,262,262,262,262,262,262,-,1,105
17,468,468,468,468,468,468,468,468,1,120
18,O34,O34,O34,O34,O34,O34,O34,O34,1,120
19,557,557,-,-,-,-,-,-,1,30
20,OO1,OO1,OO1,OO1,OO1,OO1,OO1,OO1,1,120
21,159,159,159,159,159,-,-,900,2,90
22,125,125,125,125,125,125,125,125,1,
23,5159,5159,5159,5159,5159,5159,5159,5159,1,120
24,320,320,320,320,320,320,320,320,1,120
25,447,447,447,447,447,-,-,-,1,75
26,873,873,873,873,873,873,873,-,1,105
27,-,L83,L83,L83,L83,L83,-,-,1,90
28,714,714,714,-,-,-,-,-,1,45
29,-,-,RVG,RVG,RVG,RVG,RVG,RVG,1,90
30,-,-,-,-,-,-,152,152,1,30
31,629,629,629,629,629,629,-,-,1,90
32,809,809,809,480,480,480,480,480,2,120
33,489,489,489,489,489,489,489,489,1,120
34,ALT,ALT,ALT,ALT,ALT,ALT,ALT,ALT,1,120
35,O41,O41,O41,O41,O41,O41,O41,O41,1,120
36,108,108,108,108,108,108,108,108,1,120
37,412,412,412,412,412,412,412,412,1,120
38,693,693,693,693,693,693,693,693,1,120
39,440,440,440,440,440,440,440,440,1,120
40,829,829,829,829,829,829,829,829,1,120
41,-,-,-,-,-,573,573,573,1,45
43,526,526,526,526,526,526,526,526,1,120
44,330,330,330,330,330,330,330,330,1,120
45,400,400,400,400,400,400,400,400,1,120
46,215,-,-,-,-,-,-,194,2,30
47,166,-,338,338,338,-,-,-,2,60
48,105,105,105,105,-,664,664,664,2,105
49,643,643,-,-,-,513,513,513,2,75
50,780,780,780,780,780,780,780,780,1,120
51,O95,O95,O95,O95,O95,O95,O95,O95,1,120
52,502,502,502,502,502,502,502,-,1,105
53,O78,O78,O78,O78,O78,O78,O78,-,1,105
54,888,888,888,888,888,888,888,888,1,120
55,WJC,WJC,WJC,WJC,WJC,WJC,WJC,WJC,1,120
56,597,597,597,597,597,-,-,-,1,75
57,1121,1121,1121,1121,1121,1121,1121,1121,1,120
58,121,121,121,-,-,-,-,-,1,45
59,139,139,139,139,139,-,-,-,1,75
60,195,195,195,195,195,195,195,195,1,120
61,124,124,124,124,124,124,-,-,1,90
62,-,845,845,845,845,845,845,845,1,120
63,313,313,313,313,313,313,313,313,1,120
64,301,301,301,301,301,-,-,-,1,75
65,511,511,511,511,511,511,511,511,1,120
66,548,548,548,548,548,548,548,548,1,120
67,O46,-,-,-,-,-,-,-,1,15
68,969,969,969,969,969,969,969,-,1,105
69,29,29,29,29,29,29,29,29,1,120
70,115,115,115,115,115,115,115,115,1,120
71,-,-,-,-,-,-,-,-,1,0
72,622,622,622,622,622,-,-,-,1,75
73,584,584,584,584,584,584,584,-,1,105
74,NRY,NRY,NRY,NRY,NRY,NRY,NRY,-,1,105
75,8UI,8UI,8UI,8UI,8UI,8UI,8UI,O29,2,120
76,S91,S91,S91,-,-,105,105,115,2,90
77,489,489,489,489,489,489,489,489,1,120
78,516,516,516,516,516,516,516,115,1,120
79,957,957,957,957,957,-,-,-,1,75
80,762,762,762,762,762,762,762,-,1,105
81,271,271,271,271,271,-,-,-,1,75
82,849,849,849,849,849,849,849,-,1,105
83,SU8,SU8,SU8,SU8,SU8,-,-,-,1,75
84,O92,O92,O92,O92,O92,O92,O92,O92,1,120
85,JFE,JFE,JFE,JFE,JFE,JFE,JFE,JFE,1,120
86,892,892,892,892,892,892,892,892,1,120
87,234,234,-,-,-,-,-,-,1,30
88,241,241,241,241,241,-,-,-,1,75
89,HQM,HQM,HQM,HQM,HQM,HQM,HQM,HQM,1,120
91,651,651,651,651,651,651,651,651,1,120
92,749,749,749,749,749,-,-,-,1,75
93,596,596,596,596,596,596,596,596,1,120
94,410,410,-,-,-,-,143,O83,2,60
95,289,289,289,289,289,289,289,736,2,120
96,YGX,YGX,YGX,YGX,YGX,YGX,YGX,YGX,1,120
97,745,745,745,745,745,745,745,-,1,105
98,648,648,648,648,648,648,648,648,1,120
99,103,103,103,103,103,103,103,814,2,120
Total,91,90,88,83,82,72,71,63,110,9510
